STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2000-Q2,,8479.2,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2000-Q3,,8531.4,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2000-Q4,,8803.6,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2001-Q1,,8982.0,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2001-Q2,,8878.3,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2001-Q3,,8437.8,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2001-Q4,,8614.5,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2002-Q1,,8972.5,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2002-Q2,,8814.6,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2002-Q3,,8142.3,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2002-Q4,,8176.2,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2003-Q1,,8271.0,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2003-Q2,,8449.3,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2003-Q3,,8766.8,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2003-Q4,,9355.3,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2004-Q1,,9705.3,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2004-Q2,,9953.5,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2004-Q3,,10024.1,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2004-Q4,,10835.0,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2005-Q1,,10912.7,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2005-Q2,,11338.3,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2005-Q3,,11733.2,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2005-Q4,,12595.4,,,,,
dataflow,ESTAT:NAMQ_10_EXI(1.0),Exports and imports by counterpart area,Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),P6,Exports of goods and services,LU,Luxembourg,2006-Q1,,13851.5,,,,,
