STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,s_adj,Seasonal adjustment,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1998-Q2,,1534237.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1998-Q3,,1535635.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1998-Q4,,1633522.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1999-Q1,,1547590.2,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1999-Q2,,1603853.5,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1999-Q3,,1607969.4,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1999-Q4,,1711111.7,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2000-Q1,,1639714.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2000-Q2,,1692611.8,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2000-Q3,,1688652.0,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2000-Q4,,1791768.6,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2001-Q1,,1759187.3,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2001-Q2,,1809867.9,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2001-Q3,,1800226.1,,,,,
dataflow,ESTAT:NAMQ_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",Q,Quarterly,CP_MEUR,"Current prices, million euro",NSA,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),B1GQ,Gross domestic product at market prices,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2001-Q4,,1906345.6,,,,,
