Date,inflation,unemployment,gdp,exports,imports,acc_balance,consumption,population,emigration,immigration,life_expectancy,deaths
2000-03-31,3.033333333333333,2.533333333333333,5579.6,8123.5,6693.7,1175.0,9210.0,433600.0,8121.0,11765.0,78.0,3754.0
2000-06-30,3.5,2.1999999999999997,5687.4,8479.2,7035.2,1175.0,9314.746100811126,434950.0,8039.6344959817725,12065.498698948888,78.0,3781.945102306948
2000-09-30,4.2,2.1,5664.5,8531.4,7181.0,1175.0,9444.084630525569,436300.0,8181.364751843942,12195.903317878854,78.0,3777.3038357943997
2000-12-31,4.366666666666666,2.1,6054.6,8803.6,7769.2,1175.0,9591.523824892345,437650.0,8471.275806684662,12201.764612773779,78.0,3751.9443020406015
2001-03-31,2.966666666666667,2.066666666666667,5822.5,8982.0,7169.7,1175.0,9748.0,439000.0,8824.0,12135.0,78.0,3719.0
2001-06-30,3.0666666666666664,1.7333333333333334,5917.4,8878.3,7714.3,1175.0,9913.242527841,440262.5,9175.73455737258,12042.695905618568,78.025,3689.4423528717016
2001-09-30,2.2666666666666666,1.7333333333333334,5731.3,8437.8,7355.5,1175.0,10082.084847373093,441525.0,9450.259534377672,11973.19989661101,78.05,3675.594183789055
2001-12-31,1.3,2.066666666666667,6408.8,8614.5,7506.4,1175.0,10247.25205181483,442787.5,9566.233608661523,11977.456940876378,78.07499999999999,3690.2228574036744
2002-03-31,2.0333333333333337,2.3000000000000003,6078.2,8972.5,7158.0,1175.0,10400.0,444050.0,9452.0,12101.0,78.1,3744.0
2002-06-30,1.4666666666666668,2.3,6398.3,8814.6,7198.4,920.0,10541.644903148874,445112.5,9072.949234462814,12368.85967319403,78.05,3841.465786378213
2002-09-30,2.033333333333333,2.533333333333333,6092.6,8142.3,6940.4,-172.0,10673.29782113552,446175.0,8547.306077441155,12706.430540128113,78.0,3952.7560143502733
2002-12-31,2.6333333333333333,3.1,6442.0,8176.2,7297.8,-20.0,10796.27131834458,447237.5,8047.363119216464,13005.251841325578,77.95,4036.5387378408877
2003-03-31,3.366666666666667,3.5666666666666664,6309.5,8271.0,7004.7,256.0,10911.0,448300.0,7746.0,13158.0,77.9,4053.0
2003-06-30,2.4,3.466666666666667,6572.1,8449.3,7170.6,-51.0,11022.997491108137,449965.0,7742.909718762273,13109.707451501214,78.22500000000001,3978.930579944475
2003-09-30,2.2666666666666666,3.733333333333333,6363.0,8766.8,7365.2,895.0,11128.724057602558,451630.0,7958.439166636246,12952.524136455268,78.55000000000001,3843.440563957242
2003-12-31,2.033333333333333,4.466666666666666,6982.6,9355.3,7868.2,774.0,11222.205861724375,453295.0,8252.095933545776,12826.921084124993,78.875,3693.827168153706
2004-03-31,2.2666666666666666,5.033333333333333,6793.0,9705.3,8021.5,919.0,11298.0,454960.0,8480.0,12872.0,79.2,3578.0
2004-06-30,3.3666666666666667,4.8,7095.3,9953.5,8578.0,-246.0,11356.748187383811,456527.5,8543.095989642125,13174.400585318723,79.3,3528.4633487442843
2004-09-30,3.5,4.833333333333333,6948.0,10024.1,8277.7,503.0,11415.17821048263,458095.0,8480.467027176535,13635.594517621763,79.4,3534.3226746539012
2004-12-31,3.8666666666666667,5.133333333333333,7353.1,10835.0,9370.8,816.0,11493.377485753583,459662.5,8368.703084237031,14096.725257686181,79.5,3573.254488477091
