Date,inflation,unemployment,gdp,exports,imports,acc_balance,consumption,population,emigration,immigration,life_expectancy,deaths,gdp_growth,gdp_growth_yoy,trade_balance,trade_openness,export_ratio,import_ratio,gdp_per_capita,consumption_per_capita,net_migration,net_migration_rate,emigration_rate,immigration_rate,deaths_rate,ca_to_gdp,gdp_growth_lag1,gdp_growth_lag4,inflation_lag1,inflation_lag4,unemployment_lag1,unemployment_lag4,exports_lag1,exports_lag4,imports_lag1,imports_lag4,consumption_lag1,consumption_lag4,emigration_lag1,emigration_lag4,net_migration_lag1,net_migration_lag4,trade_balance_lag1,trade_balance_lag4,import_ratio_lag1,import_ratio_lag4,export_ratio_lag1,export_ratio_lag4,trade_openness_lag1,trade_openness_lag4,inflation_ma2,inflation_ma4,unemployment_ma2,unemployment_ma4,gdp_growth_ma2,gdp_growth_ma4
1996-03-31,1.3666666666666665,3.266666666666667,4136.1,4637.2,3653.3,1175.0,7236.0,411600.0,6355.0,10027.0,76.8,3895.0,,,983.8999999999996,2.0044244578225863,1.1211527767703875,0.8832716810521989,10048.833819241983,17580.1749271137,3672.0,8.92128279883382,15.43974732750243,24.36103012633625,9.46307094266278,28.408404052126397,,,,,,,,,,,,,,,,,,,,,,,,,1.3666666666666665,1.3666666666666665,3.266666666666667,3.266666666666667,,
1996-06-30,1.3666666666666665,2.9333333333333336,4048.4,4319.5,3740.4,1175.0,7212.922380487455,412912.5,6263.475604766709,10051.58342017234,76.875,3903.7619810385145,-2.1203549237204244,,579.0999999999999,1.990885288015018,1.0669647268056517,0.9239205612093667,9804.49853177126,17468.404033511833,3788.1078154056304,9.174117556154465,15.169014270012918,24.343131826167383,9.454211197380836,29.023811876296808,,,1.3666666666666665,,3.266666666666667,,4637.2,,3653.3,,7236.0,,6355.0,,3672.0,,983.8999999999996,,0.8832716810521989,,1.1211527767703875,,2.0044244578225863,,1.3666666666666665,1.3666666666666665,3.1000000000000005,3.1000000000000005,-2.1203549237204244,-2.1203549237204244
1996-09-30,1.3666666666666665,2.6333333333333333,4089.3,4360.6,3359.1,1175.0,7227.358297687008,414225.0,6287.947512980596,10126.165653394177,76.94999999999999,3912.9839949959096,1.0102756644600364,,1001.5000000000005,1.8877803046976256,1.0663438730345047,0.8214364316631207,9872.17092160058,17447.904635613515,3838.218140413581,9.266022428423152,15.180029001099877,24.446051429523028,9.446518184551657,28.733524075025063,-2.1203549237204244,,1.3666666666666665,,2.9333333333333336,,4319.5,,3740.4,,7212.922380487455,,6263.475604766709,,3788.1078154056304,,579.0999999999999,,0.9239205612093667,,1.0669647268056517,,1.990885288015018,,1.3666666666666665,1.3666666666666665,2.783333333333333,2.9444444444444446,-0.555039629630194,-0.555039629630194
1996-12-31,1.3666666666666665,2.8666666666666667,4188.0,4460.8,3677.4,1175.0,7275.219888518987,415537.5,6406.552428634954,10251.258680285291,77.02499999999999,3921.2149761111177,2.413616022302101,,783.4000000000001,1.9432187201528177,1.0651384909264565,0.8780802292263611,10078.512769605632,17507.97434291487,3844.7062516503374,9.252368923744156,15.417507273434897,24.669876197179054,9.436488827388906,28.05635148042025,1.0102756644600364,,1.3666666666666665,,2.6333333333333333,,4360.6,,3359.1,,7227.358297687008,,6287.947512980596,,3838.218140413581,,1001.5000000000005,,0.8214364316631207,,1.0663438730345047,,1.8877803046976256,,1.3666666666666665,1.3666666666666665,2.75,2.9250000000000003,1.7119458433810686,0.43451225434723756
1997-03-31,1.3666666666666665,2.833333333333333,4104.9,4715.2,3761.5,1175.0,7350.0,416850.0,6591.0,10423.0,77.1,3927.0,-1.9842406876790952,-0.7543337927032878,953.6999999999998,2.0650198543204468,1.1486759726180906,0.9163438817023558,9847.427132061892,17632.241813602017,3832.0,9.192755187717404,15.81144296509536,25.004198152812762,9.42065491183879,28.624327023800827,2.413616022302101,,1.3666666666666665,1.3666666666666665,2.8666666666666667,3.266666666666667,4460.8,4637.2,3677.4,3653.3,7275.219888518987,7236.0,6406.552428634954,6355.0,3844.7062516503374,3672.0,783.4000000000001,983.8999999999996,0.8780802292263611,0.8832716810521989,1.0651384909264565,1.1211527767703875,1.9432187201528177,2.0044244578225863,1.3666666666666665,1.3666666666666665,2.8499999999999996,2.8166666666666664,0.2146876673115028,-0.17017598115934562
1997-06-30,1.1333333333333335,2.466666666666667,4315.6,4955.3,4022.0,1175.0,7449.332437205683,418150.0,6823.590718985695,10646.784524391773,77.14999999999999,3929.2591458226657,5.132889960778608,6.600138326252347,933.3000000000002,2.0801974233015104,1.1482296783761239,0.9319677449253869,10320.698314002153,17814.97653283674,3823.1938054060774,9.143115641291589,16.318523780905643,25.461639422197234,9.3967694507298,27.22680507924738,-1.9842406876790952,-2.1203549237204244,1.3666666666666665,1.3666666666666665,2.833333333333333,2.9333333333333336,4715.2,4319.5,3761.5,3740.4,7350.0,7212.922380487455,6591.0,6263.475604766709,3832.0,3788.1078154056304,953.6999999999998,579.0999999999999,0.9163438817023558,0.9239205612093667,1.1486759726180906,1.0669647268056517,2.0650198543204468,1.990885288015018,1.25,1.3083333333333333,2.65,2.6999999999999997,1.5743246365497565,1.6431352399654124
1997-09-30,1.4666666666666668,2.533333333333333,4261.0,5047.0,4146.2,1175.0,7569.513316954966,419450.0,7082.641944622576,10924.778107275532,77.19999999999999,3926.533822448313,-1.2651774955973805,4.198762624410035,900.8000000000002,2.157521708519127,1.1844637409058907,0.9730579676132363,10158.54094647753,18046.282791643738,3842.136162652955,9.159938401842782,16.885545224991244,26.045483626834024,9.361148700556235,27.5756864585778,5.132889960778608,1.0102756644600364,1.1333333333333335,1.3666666666666665,2.466666666666667,2.6333333333333333,4955.3,4360.6,4022.0,3359.1,7449.332437205683,7227.358297687008,6823.590718985695,6287.947512980596,3823.1938054060774,3838.218140413581,933.3000000000002,1001.5000000000005,0.9319677449253869,0.8214364316631207,1.1482296783761239,1.0663438730345047,2.0801974233015104,1.8877803046976256,1.3000000000000003,1.3333333333333333,2.5,2.675,1.933856232590614,1.0742719499510585
1997-12-31,1.5666666666666669,2.966666666666667,4584.8,5348.5,4620.5,1175.0,7705.011193990452,420750.0,7342.219946836516,11255.314751078464,77.25,3917.4150629561514,7.599155127904256,9.474689589302777,728.0,2.174358750654336,1.1665721514569882,1.0077865991973478,10896.73202614379,18312.563740916106,3913.0948042419477,9.300284739731309,17.450314787490235,26.750599527221542,9.310552734298637,25.628162624323853,-1.2651774955973805,2.413616022302101,1.4666666666666668,1.3666666666666665,2.533333333333333,2.8666666666666667,5047.0,4460.8,4146.2,3677.4,7569.513316954966,7275.219888518987,7082.641944622576,6406.552428634954,3842.136162652955,3844.7062516503374,900.8000000000002,783.4000000000001,0.9730579676132363,0.8780802292263611,1.1844637409058907,1.0651384909264565,2.157521708519127,1.9432187201528177,1.5166666666666668,1.3833333333333333,2.75,2.6999999999999997,3.1669888161534376,2.370656726351597
1998-03-31,1.3,3.033333333333333,4290.3,5630.1,4701.3,1175.0,7848.0,422050.0,7574.0,11630.0,77.3,3901.0,-6.423399057756063,4.5165533874150565,928.8000000000002,2.4080833508146284,1.3122858541360745,1.095797496678554,10165.38324843028,18594.95320459661,4056.0,9.610235754057577,17.94574102594479,27.55597678000237,9.242980689491768,27.387362189124303,7.599155127904256,-1.9842406876790952,1.5666666666666669,1.3666666666666665,2.966666666666667,2.833333333333333,5348.5,4715.2,4620.5,3761.5,7705.011193990452,7350.0,7342.219946836516,6591.0,3913.0948042419477,3832.0,728.0,953.6999999999998,1.0077865991973478,0.9163438817023558,1.1665721514569882,1.1486759726180906,2.174358750654336,2.0650198543204468,1.4333333333333336,1.366666666666667,3.0,2.75,0.5878780350740964,1.2608671338323554
1998-06-30,1.2,2.6666666666666665,4452.0,5713.7,4848.3,1175.0,7999.547560081269,423375.0,7767.157087216841,12047.230693315603,77.475,3876.5016880711,3.7689672050905454,3.1606265640930387,865.3999999999996,2.372416891284816,1.2834007187780772,1.0890161725067387,10515.500442869796,18894.709324077397,4280.073606098762,10.10941507197818,18.34580947674483,28.455224548723006,9.156189401998464,26.392632524708,-6.423399057756063,5.132889960778608,1.3,1.1333333333333335,3.033333333333333,2.466666666666667,5630.1,4955.3,4701.3,4022.0,7848.0,7449.332437205683,7574.0,6823.590718985695,4056.0,3823.1938054060774,928.8000000000002,933.3000000000002,1.095797496678554,0.9319677449253869,1.3122858541360745,1.1482296783761239,2.4080833508146284,2.0801974233015104,1.25,1.3833333333333333,2.8499999999999996,2.8,-1.3272159263327588,0.9198864449103394
