Date,unemployment,unemployment_lag1,unemployment_lag4,gdp_growth_lag1,gdp_growth_lag4,inflation_lag1,emigration_lag1,net_migration_lag1,exports_lag1,consumption_lag1
2000-03-31,2.533333333333333,2.466666666666667,2.6,8.007225745645897,-1.6527749542589951,2.0,8087.1881295755165,3899.252691547067,7415.8,9048.406850287936
2000-06-30,2.2,2.533333333333333,2.3000000000000003,1.4343628992673718,5.763069227112072,3.033333333333333,8121.0,3644.0,8123.5,9210.0
2000-09-30,2.1,2.2,2.266666666666667,1.9320381389346772,-0.4612528095377821,3.5,8208.441038784129,3533.8056424834813,8479.2,9351.479118261996
2000-12-31,2.1,2.1,2.466666666666667,-0.4026444421000752,8.007225745645897,4.2,8355.95610690204,3505.6177065907486,8531.4,9482.076447582262
2001-03-31,2.066666666666667,2.1,2.533333333333333,6.886750816488663,1.4343628992673718,4.366666666666666,8563.195905327351,3462.548531578601,8803.6,9611.526027007703
2001-06-30,1.7333333333333334,2.066666666666667,2.2,-3.8334489479073808,1.9320381389346772,2.966666666666667,8824.0,3311.0,8982.0,9748.0
2001-09-30,1.7333333333333334,1.7333333333333334,2.1,1.6298840704164874,-0.4026444421000752,3.0666666666666664,9130.502415414285,2998.809689489781,8878.3,9903.39982250321
2001-12-31,2.066666666666667,1.7333333333333334,2.1,-3.14496231453002,6.886750816488663,2.2666666666666666,9403.476857675509,2659.308397331308,8437.8,10071.904739119169
2002-03-31,2.3000000000000003,2.066666666666667,2.066666666666667,11.821052815242616,-3.8334489479073808,1.3,9541.602671930386,2483.0206871638184,8614.5,10241.89225583918
2002-06-30,2.3,2.3000000000000003,1.7333333333333334,-5.158532018474604,1.6298840704164874,2.0333333333333337,9452.0,2649.0,8972.5,10400.0
2002-09-30,2.533333333333333,2.3,1.7333333333333334,5.266361751834436,-3.14496231453002,1.4666666666666668,9085.071259493638,3260.5756342396817,8814.6,10544.282707049158
2002-12-31,3.1,2.533333333333333,2.066666666666667,-4.77783161152181,11.821052815242616,2.033333333333333,8559.845429191722,4122.573181739237,8142.3,10676.026437094535
2003-03-31,3.5666666666666664,3.1,2.3000000000000003,5.734825854315062,-5.158532018474604,2.6333333333333333,8053.9667674983375,4938.639576823778,8176.2,10797.708300131842
2003-06-30,3.466666666666667,3.5666666666666664,2.3,-2.056814653834216,5.266361751834436,3.366666666666667,7746.0,5412.0,8271.0,10911.0
2003-09-30,3.733333333333333,3.466666666666667,2.533333333333333,4.161977969728192,-4.77783161152181,2.4,7739.653517986536,5376.289316653617,8449.3,11022.288928051676
2003-12-31,4.466666666666666,3.733333333333333,3.1,-3.18163144200484,5.734825854315062,2.2666666666666666,7955.062463281508,5003.927809819946,8766.8,11127.989272675404
2004-03-31,5.033333333333333,4.466666666666666,3.5666666666666664,9.737545183089736,-2.056814653834216,2.033333333333333,8250.305581635415,4580.043893698688,9355.3,11221.81627357883
2004-06-30,4.8,5.033333333333333,3.466666666666667,-2.7153209406238443,4.161977969728192,2.2666666666666666,8480.0,4392.0,9705.3,11298.0
2004-09-30,4.833333333333333,4.8,3.733333333333333,4.450169291918149,-3.18163144200484,3.3666666666666667,8543.966148070745,4628.76814835251,9953.5,11356.93753753703
2004-12-31,5.133333333333333,4.833333333333333,4.466666666666666,-2.076022155511392,9.737545183089736,3.5,8481.367004965583,5152.504121895681,10024.1,11415.374049454758
2005-03-31,5.033333333333333,5.133333333333333,5.033333333333333,5.830454807138752,-2.7153209406238443,3.866666666666666,8369.176910945793,5726.641003712712,10835.0,11493.480592448814
2005-06-30,4.5,5.033333333333333,4.8,-5.654757857230286,4.450169291918149,3.2,8287.0,6110.0,10912.7,11609.0
2005-09-30,4.3,4.5,4.833333333333333,6.591901748518869,-2.076022155511392,3.5666666666666664,8295.535949942521,6154.219460929591,11338.3,11777.491506776718
