STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_de,Demographic indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1996,,3895,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1997,,3927,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1998,,3901,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,1999,,3793,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2000,,3754,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2001,,3719,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2002,,3744,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2003,,4053,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2004,,3578,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2005,,3621,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2006,,3766,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2007,,3866,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2008,,3595,,,,,
dataflow,ESTAT:DEMO_GIND(1.0),Population change - Demographic balance and crude rates at national level,A,Annual,DEATH,Deaths - total,LU,Luxembourg,2009,,3655,,,,,
